id	age	gender	nationality	familiarity	personalityResponses	preSurveyResponses	timeSpent	fightCnt	punchCnt	avgSpeed	totalDist	collectedItemCnt	totalItemCnt	crowdPersonality	postSurveyResponses
A3FY00HDM7UGAV	0	 Male 	 White 	0	 [6,1,5,1,6,3,6,0,5,4]	 [-3,-2,-3,-2,-3,-2,2,2,-1,-1,-3,-1,-2,-1,-1,-2,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3GHPD5EZAMR4P	46	 Male 	 Black 	3	 [4,5,6,5,4,5,6,5,6,0]	 [3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3GRAYNGR8VIB1	33	 Male 	 White 	1	 [4,4,3,3,3,4,0,2,3,2]	 [0,-2,-2,-2,-2,-2,-2,2,-1,-2,-1,-2,-2,-2,-2,0,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3HAG4AFOE0P7H	24	 Male 	 White 	0	 [5,6,5,6,6,5,6,5,6,5]	 [-1,-2,-1,1,-2,-1,-2,2,-2,-2,2,-2,2,-2,-2,2,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3HQTF6HZUPMT2	25	 Male 	 White 	1	 [0,0,0,0,0,6,6,0,6,0]	 [-2,-2,-2,-2,-2,0,0,0,0,0,0,-3,1,0,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3HZFB2JLF3JMY	26	 Male 	 White 	1	 [4,1,3,2,4,5,4,0,2,4]	 [1,-1,2,2,-2,3,-2,1,1,3,-1,2,1,1,-1,2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3INIQ9SLHFE4P	26	 Female 	 White 	0	 [3,4,3,4,3,4,3,4,3,4]	 [-1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3INLAOYLBL5VB	32	 Male 	 White 	NULL	 [4,5,3,4,4,4,5,6,3,3]	 [-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,1,-1,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3KYLVQIVSN6EP	40	 Male 	 White 	1	 [4,4,5,3,5,3,5,4,5,6]	 [0,0,0,0,0,2,1,2,1,1,2,-2,1,-1,2,-1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3L6O92EYTV56G	48	 Female 	 White 	3	 [6,2,5,4,6,6,4,1,5,3]	 [-3,-3,-2,-2,-2,-2,-3,-2,-1,-1,-2,-1,-3,-2,-3,-2,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3LIDBKBLMBMDV	30	 Male 	 White 	NULL	 [6,6,5,4,4,4,3,3,4,5]	 [1,2,2,1,2,1,1,2,1,1,2,1,2,2,3,3,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3MTSVVZVOVJ61	34	 Male 	 White 	2	 [6,0,6,0,5,5,6,0,6,0]	 [-3,-3,-3,-3,-3,-3,-3,-3,1,1,-2,-3,-3,-3,-3,-3,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3NNWA8MO7IK4C	51	 Male 	 White 	1	 [4,5,6,4,5,4,1,3,5,6]	 [-3,-3,-2,-2,-3,-2,-3,-2,-1,-2,1,-2,-2,-3,-2,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3OTMQBHLX8TCD	42	 Female 	 White 	NULL	 [3,3,6,3,4,2,4,3,5,3]	 [0,-1,-1,1,-2,-1,-2,-2,-1,1,1,-1,1,1,-1,1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3OUKGS8BDB2I4	25	 Female 	 White 	2	 [4,5,4,4,3,4,5,3,5,2]	 [-1,-2,-1,-1,-2,1,1,-1,-1,-1,-2,-2,-1,-2,-2,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3P29F3NFKRJH	25	 Female 	 White 	NULL	 [6,4,5,1,6,0,0,0,5,2]	 [-2,-3,-1,-1,-2,-3,-3,-3,-1,-2,-3,-1,-3,-2,-3,-2,-3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3QK2KAUFEATAE	30	 Male 	 White 	0	 [3,3,3,3,3,3,3,3,3,3]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3QPVH0DRW0ZQV	46	 Female 	 White 	NULL	 [4,0,6,0,4,4,6,0,6,4]	 [-1,-2,-3,-3,-1,-2,-2,-2,0,0,-3,-1,-1,-2,-1,-2,0]	74.0623	0	0	2.03201	150.528	0	0	0	 [0,0,-2,-2,-1,-3,-3,-1,-1,0,-3,-3,-1,-2,-1,-2,-1]
A3R0S3HPFI76HM	25	 Female 	 White 	NULL	 [4,4,5,3,4,4,2,3,4,3]	 [-2,-2,-1,-2,1,-1,1,-1,0,-2,0,-1,1,0,-1,1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3R0S4QK7VY0QA	25	 Female 	 Asian 	NULL	 [5,6,4,5,6,5,4,5,6,5]	 [-1,-2,-1,-1,-2,-1,0,-1,1,-1,-1,-1,-1,-2,-1,0,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3R73W9TQ8GO2P	35	 Male 	 Asian 	2	 [5,6,5,3,4,6,0,0,0,0]	 [-1,1,-1,-2,-1,1,2,-1,-1,1,2,1,2,-2,-1,2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3RTW9UWYKSNWX	26	 Male 	 Hispanic / Latinx 	3	 [0,1,5,0,6,5,2,2,6,1]	 [-1,0,-1,-1,-1,-2,1,3,-3,-3,-2,1,-1,-3,-2,-1,-2]	123.634	2	313	0.856556	105.902	0	11	0	 [-1,-2,-2,-1,-1,-2,-2,-1,-1,-1,-3,-2,-2,-1,-1,-2,-3]
A3T9WZOUQGE2UW	41	 Female 	 White 	0	 [0,0,5,4,3,5,4,0,4,4]	 [1,1,1,1,1,0,1,1,1,1,1,2,2,0,0,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A3YG4NM3FQQQY	25	 Male 	 Asian 	NULL	 [4,6,5,4,5,3,6,5,4,5]	 [-1,-1,-2,-1,-2,-1,2,2,-1,0,-1,-1,0,1,-2,1,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A5TSXS3MY539	29	 Male 	 White 	2	 [5,4,5,5,6,4,5,5,5,5]	 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A6M7YIG6KKHPA	0	 Male 	 White 	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A7FES771EFY3Q	35	 Female 	 White 	3	 [5,4,4,3,4,4,5,4,2,1]	 [-3,-3,-3,-3,-3,-2,-2,-2,2,2,2,-3,0,-2,-3,-1,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A842P87NB4KIS	39	 Male 	 White 	3	 [4,5,5,4,3,3,4,5,6,5]	 [1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8AEFZTMDVN0Z	40	 Male 	 White 	NULL	 [3,4,5,6,5,4,3,2,1,0]	 [0,1,1,2,-1,1,-1,1,1,1,2,1,1,1,1,2,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A8EOOD4XSEJAB	46	 Male 	 White 	3	 [6,5,4,0,6,2,2,0,3,1]	 [-3,-3,-3,-3,-3,-2,3,-3,-2,-1,-2,3,-3,-2,-3,-1,-2]	175.549	3	249	0.847315	148.768	0	5	0	 [-3,-3,-3,-3,-3,-1,3,-3,-2,-1,-1,2,-2,1,-3,-1,-2]
A9ORJQWL53QJL	25	 Male 	 Asian 	NULL	 [6,5,4,3,2,3,4,5,4,3]	 [-2,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-2,-2,-2,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
A9VB9Z8BWQC7Q	49	 Female 	 White 	2	 [4,5,5,1,4,2,4,1,2,1]	 [-2,-2,-2,-1,-3,-1,2,-2,-1,-1,-2,-1,2,1,-2,1,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AA6CBIP3TA8KG	26	 Female 	 White 	NULL	 [1,1,2,4,3,4,6,3,5,3]	 [-2,-1,-3,-1,-2,1,-1,-3,-1,-1,-1,-3,-3,-1,-3,-3,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ABAQFHSIFY91S	33	 Male 	 Black 	3	 [6,6,6,6,6,6,6,6,0,6]	 [-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ABNS3IO3ML4N7	45	 Female 	 White 	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ABVP1XX3ZOMKL	43	 Male 	 White 	-2	 [1,4,4,5,2,3,2,5,3,1]	 [1,-1,0,2,0,1,0,1,0,1,0,0,1,-1,1,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AC3GSBB3EWANA	26	 Female 	 White 	NULL	 [4,5,3,4,5,4,3,4,5,4]	 [-1,-1,-1,-2,-1,-2,-1,-1,-2,-1,-2,-2,-1,1,1,-1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ACAD54DT9FU7U	35	 Female 	 Asian 	-1	 [4,2,2,6,4,1,3,4,0,0]	 [1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-3,-1,-1,-1,-2,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AG62J8MOAACK3	49	 Male 	 White 	2	 [5,5,6,6,5,5,5,5,5,5]	 [1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AGRQRM61FMZD3	30	 Male 	 White 	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AGV0WPVC2A7DF	33	 Male 	 White 	1	 [4,4,3,5,3,4,2,4,3,5]	 [-3,-1,-3,-2,-1,-3,0,-2,0,-1,1,-2,1,-1,1,-1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AGZ3QJFK1BR8V	28	 Female 	 White 	NULL	 [5,0,5,0,6,5,5,0,6,0]	 [0,0,0,-3,-3,-3,3,-3,-1,-3,-3,3,3,-3,-3,-3,3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AHZTWNUW0FJK1	25	 Female 	 White 	2	 [0,4,5,4,3,4,4,5,5,4]	 [3,2,2,1,2,2,1,1,1,2,1,2,1,0,2,1,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
